id,distanceToJita,region,constellation,name,security,neighbors,planets
30000001,14,Derelik,San Matar,Tanoo,0.86,30000003:30000005:30000007,40000002:40000005:40000007:40000008:40000011:40000017
30000002,14,Derelik,San Matar,Lashesih,0.75,30000005:30002973,40000020:40000022:40000024:40000028:40000031:40000033:40000037
30000003,15,Derelik,San Matar,Akpivem,0.85,30000001:30000007:30000052:30000084,40000041:40000043:40000046:40000055:40000074:40000100:40000123
30000004,12,Derelik,San Matar,Jark,0.82,30000005:30002509,40000130:40000132:40000134:40000137:40000139:40000164:40000185
30000005,13,Derelik,San Matar,Sasta,0.81,30000001:30000002:30000004:30000032,40000191:40000193:40000194:40000196:40000200:40000215:40000236:40000256:40000282
30000006,17,Derelik,San Matar,Zaid,0.86,30000008:30000023,40000292:40000293:40000294:40000297:40000298:40000300:40000304:40000323:40000326
30000007,15,Derelik,San Matar,Yuzier,0.91,30000001:30000003:30000008,40000333:40000335:40000337:40000339:40000341:40000348:40000352:40000355
30000008,16,Derelik,San Matar,Nirbhi,0.88,30000006:30000007:30000057:30000076,40000382:40000384:40000386:40000389:40000391:40000398:40000417:40000441:40000462:40000468
30000009,23,Derelik,Anares,Sooma,0.58,30000010,40000472:40000473:40000474:40000476:40000478:40000481:40000484:40000505:40000516:40000527
30000010,22,Derelik,Anares,Chidah,0.54,30000009:30000011:30000013,40000533:40000534:40000535:40000537:40000540:40000553:40000555:40000570:40000597:40000599
30000011,23,Derelik,Anares,Shenela,0.46,30000010:30000038,40000605:40000607:40000608:40000611:40000632:40000635
30000012,20,Derelik,Anares,Asabona,0.32,30000013:30000073,40000663:40000665:40000667:40000670:40000672:40000679:40000686:40000689:40000715:40000741:40000767
30000013,21,Derelik,Anares,Onsooh,0.44,30000010:30000012:30000014:30000015:30000016,40000770:40000772:40000774:40000776:40000779:40000781:40000783:40000799:40000824:40000854
30000014,22,Derelik,Anares,Shamahi,0.36,30000013:30000090:30000098,40000861:40000862:40000864:40000866:40000868:40000869:40000888:40000908:40000916:40000940
30000015,22,Derelik,Anares,Sendaya,0.29,30000013:30000018:30000046:30001047,40000942:40000943:40000945:40000947:40000949:40000953:40000966:40000989:40000993
30000016,22,Derelik,Anares,Nazhgete,0.39,30000013,40001000:40001002:40001004:40001006:40001009:40001012:40001013:40001036:40001060:40001076
30000017,24,Derelik,Mamouna,Futzchag,0.17,30000018:30000020:30000021:30000022,40001096:40001097:40001099:40001101:40001103:40001124:40001126:40001128:40001154:40001176:40001181
30000018,23,Derelik,Mamouna,Kazna,0.23,30000015:30000017:30000021,40001183:40001184:40001186:40001200:40001203:40001224:40001246
30000019,26,Derelik,Mamouna,Podion,0.11,30000022,40001266:40001267:40001269:40001270:40001272:40001281:40001292:40001316:40001340
30000020,25,Derelik,Mamouna,Lilmad,0.16,30000017,40001345:40001347:40001349:40001351:40001367:40001382:40001385:40001411
30000021,24,Derelik,Mamouna,Kuharah,0.19,30000017:30000018,40001415:40001417:40001419:40001424:40001444:40001463:40001492:40001495
30000022,25,Derelik,Mamouna,Jayneleb,0.11,30000017:30000019,40001499:40001501:40001503:40001519:40001526:40001550:40001572:40001575:40001578
30000023,18,Derelik,Kalangin,Fovihi,0.87,30000006:30000024:30000030,40001582:40001584:40001586:40001589:40001593:40001614:40001639
30000024,19,Derelik,Kalangin,Kiereend,0.84,30000023:30000025:30000027:30000028,40001645:40001647:40001648:40001650:40001652:40001655:40001660:40001690
30000025,19,Derelik,Kalangin,Rashy,0.80,30000024:30000026:30000027:30000028,40001713:40001715:40001717:40001732:40001754:40001779
30000026,18,Derelik,Kalangin,Ordize,0.70,30000025:30000028:30000029:30000030,40001785:40001786:40001789:40001809:40001815:40001825:40001829
30000027,20,Derelik,Kalangin,Psasa,0.75,30000024:30000025:30000028,40001834:40001850:40001867
30000028,19,Derelik,Kalangin,Eshtah,0.77,30000024:30000025:30000026:30000027:30000064,40001892:40001894:40001896:40001899:40001903:40001907:40001910:40001927:40001957:40001981
30000029,18,Derelik,Kalangin,Lachailes,0.57,30000026:30000030,40001985:40001986:40001988:40001991:40001994:40002012
30000030,17,Derelik,Kalangin,Kasrasi,0.57,30000023:30000026:30000029:30000112,40002038:40002040:40002041:40002043:40002045:40002047:40002053:40002056:40002068:40002076
30000031,14,Derelik,Hevaka,Mohas,0.68,30000033:30000035,40002088:40002089:40002091:40002093:40002096:40002098:40002101:40002104:40002123
30000032,14,Derelik,Hevaka,Hasiari,0.80,30000005:30000033:30000034,40002133:40002134:40002136:40002138:40002139:40002141:40002144:40002151:40002156
30000033,15,Derelik,Hevaka,Radima,0.75,30000031:30000032,40002158:40002159:40002162:40002164:40002165:40002167:40002171:40002173:40002176:40002183:40002202:40002236
30000034,15,Derelik,Hevaka,Alkez,0.78,30000032,40002243:40002245:40002246:40002248:40002252:40002257:40002261:40002282
30000035,13,Derelik,Hevaka,Nimambal,0.59,30000031:30000036:30000114,40002288:40002289:40002290:40002291:40002292:40002295:40002299:40002323:40002328:40002336
30000036,12,Derelik,Hevaka,Yishinoon,0.42,30000035:30000037,40002341:40002343:40002345:40002348:40002364:40002382:40002412
30000037,11,Derelik,Hevaka,Uplingur,0.42,30000036:30002508,40002418:40002420:40002426:40002444
30000038,24,Derelik,Sazdih,Dooz,0.42,30000011:30000039:30000040:30000043,40002478:40002479:40002480:40002482:40002486:40002511
30000039,25,Derelik,Sazdih,Bayuka,0.40,30000038:30000040:30000041,40002515:40002516:40002518:40002520:40002522:40002552:40002574:40002593:40002597:40002601
30000040,25,Derelik,Sazdih,Uzistoon,0.39,30000038:30000039:30000043,40002612:40002613:40002614:40002615:40002617:40002619:40002635:40002659
30000041,26,Derelik,Sazdih,Bairshir,0.36,30000039:30000042,40002666:40002667:40002669:40002674:40002687:40002714
30000042,27,Derelik,Sazdih,Moh,0.47,30000041,40002725:40002727:40002728:40002730:40002734:40002746:40002752
30000043,25,Derelik,Sazdih,Sari,0.38,30000038:30000040:30000100,40002759:40002760:40002761:40002763:40002767:40002784:40002814:40002818:40002822
30000044,22,Derelik,Ananah,Faspera,0.13,30000045:30000046,40002838:40002839:40002840:40002841:40002845:40002847:40002851:40002853
30000045,21,Derelik,Ananah,Jaymass,0.22,30000044:30000046:30000048:30000049,40002858:40002860:40002862:40002864:40002868:40002888:40002917
30000046,21,Derelik,Ananah,Mifrata,0.30,30000015:30000044:30000045:30000047:30000048,40002920:40002921:40002922:40002925:40002942:40002968:40002974
30000047,22,Derelik,Ananah,Majamar,0.37,30000046:30000050,40002980:40002982:40002984:40002987:40002990:40002993:40003012:40003033:40003049:40003055
30000048,20,Derelik,Ananah,Ihal,0.49,30000045:30000046:30000106,40003060:40003062:40003064:40003069:40003073:40003086:40003108:40003128:40003147:40003152
30000049,22,Derelik,Ananah,Camal,0.21,30000045,40003158:40003159:40003161:40003163:40003166:40003168:40003172:40003179:40003182
30000050,23,Derelik,Ananah,Fera,0.48,30000047,40003187:40003188:40003190:40003193
